titre,auteurs,description,isbn
Psychologie générale,Jean-Paul Nkongolo Mukendi,"La psychologie générale, en tant qu'ensemble cohérent des connaissances des sous-disciplines de la psychologie, intéresse toute personne désireuse de comprendre son comportement et/ou celui de l'autre. Le comportement humain est décrit comme un ensemble des réactions complexes qui découlent des stimuli et qui sont orchestrées savamment dans la boite noire. Cette dernière imprime au comportement sa dimension singulière et différentielle. Elle est composée d'un système cognitif qui collecte les informations, les traite et les interprète ; d'un système affectivo-émotionnel qui imprime une valeur personnelle aux données de l'environnement ; et enfin d'un système motivationnel qui déclenche et oriente l'échange avec le milieu.",9782140167393
L'aide-mémoire de psychologie médicale et psychologie du soin,Antoine Bioy,"Le soignant, qu’il soit médecin ou professionnel du secteur para-médical, est confronté quotidiennement aux difficultés psychologiques de ses patients. Également, il effectue des actes qui ont une résonance et des implications importantes sur le plan psychique (manipulation d’un corps en vue d’un dépistage, impact d’un entretien d’annonce, etc.). Or paradoxalement, la psychologie est pratiquement absente des formations de soignants, particulièrement en ce qui concerne les études médicales. Ils se trouvent ainsi souvent démunis face à ce qu’ils observent, qu’il s’agisse d’un trouble psychique en tant que tel ou même un refus de soin qui semble non motivé. Cet ouvrage a pour objectif de pallier des difficultés récurrentes dans la profession de soignant, lorsque la pratique rejoint des préoccupations d’ordre psychologique.",9782100579082
Psychologie de la couleur,Eva Heller,"Eminemment subjectives, les couleurs appellent une palette d'effets et d'émotions fondée sur des expériences communes, profondément ancrées dans le langage et la pensée. Psychologie de la couleur, effets et symboliques se présente comme un recueil d'informations historiques, sociales, politiques et stylistiques sur les couleurs. Près de 160 émotions et effets vers ont ainsi été répertoriés; de l'amour à la haine, de l'élégance à la laideur, de l'optimisme à la tristesse, de la modernité à l'obsolescence. Outre la richesse d'informations sur les propriétés des couleurs, cet ouvrage regorge d'anecdotes et de faits historique permettant de saisir la genèse des symboliques des couleurs. De célèbres théories, comme celle de Goethe, sont explicitées dans un langage clair et didactique. Psychologie de la couleur, effets et symboliques s'adresse à quiconque travaille avec les couleurs, qu'il soit artiste, art-thérapeute, designer, concepteur architecte d'intérieur ou créateur de mode.",9782350171562
Psychologie sociale,Jean-Pierre Pétard,"Présentation des savoirs à connaître en psychologie sociale comme penser en groupe, la pensée et la mémoire sociale, les représentations sociales, les psychologies sociales du langage, les interactions langagières, la discrimination et le langage, ainsi que les normes sociales. Cette nouvelle édition présente une structure plus claire, avec des données scientifiques et pratiques actualisées.",9782749506043
La psychologie des peuples,Abel Miroglio,"Cet ouvrage est une réédition numérique d’un livre paru au XXe siècle, désormais indisponible dans son format d’origine.",9782130776314
Psychologie et médecine,Jacques Corraze,"Qu’il s’agisse des facteurs responsables des maladies — aujourd’hui les dix principales causes de décès sont partiellement dépendantes des comportements —, des défenses vis-à-vis d’elles, de l’ensemble des relations avec le praticien, de la poursuite et de l’observation du traitement comme des conduites quotidiennes, la psychologie est partie intégrante de la médecine. Trop longtemps vouée aux maladies mentales et aux maladies imaginaires, la psychologie, se tient au cœur de la pathologie générale pour réduire ses risques, la souffrance, la détresse et préparer le malade à franchir toutes les étapes indispensables à sa réhabilitation alors que les progrès de la technique éloignent de plus en plus tous les facteurs humains. Ce livre fait le point sur l’ensemble de ces questions, couvertes aujourd’hui par des disciplines qui convergent : médecine psychosomatique, psychologie de la santé, santé comportementale, médecine comportementale, comportements de maladie. Il prépare le psychologue à s’ouvrir à un champ considérable d’activités et les professionnels de la santé à participer à la transformation du modèle biomédical en un modèle biopsychosocial conforme au corps actuel de nos connaissances.",9782705909000
Psychologie noire,Dylan Black,"Avez-vous déjà ressenti que quelqu un manipulait vos émotions ou influençait vos décisions à votre insu? Dans un monde où les interactions humaines deviennent de plus en plus complexes, comprendre les mécanismes de la psychologie noire est essentiel pour reprendre le contrôle de votre esprit et de vos relations. Ce livre révolutionnaire vous guide à travers les techniques d'analyse des comportements, tout en vous apprenant à vous défendre contre les pièges psychologiques comme le lavage de cerveau, les manipulations émotionnelles et les tromperies. -Décodez les intentions cachées: Apprenez à lire le langage corporel, à interpréter les signaux subtils et à détecter les mensonges. -Protégez-vous des influences néfastes: Identifiez les techniques de manipulation les plus courantes et découvrez comment y résister efficacement. -Améliorez vos relations: Établissez des limites claires et renforcez votre confiance en vous pour interagir sereinement avec les autres. -Développez votre intuition: Connectez-vous à votre instinct pour prendre des décisions éclairées et éviter les pièges des manipulateurs. Que vous cherchiez à améliorer vos relations personnelles, à réussir dans un environnement professionnel compétitif ou simplement à mieux comprendre les dynamiques humaines, ce guide vous offre des outils concrets et des stratégies éprouvées pour vous défendre et prospérer. Ne laissez plus les autres contrôler vos pensées ou vos actions. Découvrez comment vous protéger tout en développant une compréhension profonde des mécanismes psychologiques qui régissent notre quotidien. Commandez dès maintenant et prenez les rênes de votre vie.",9782810629275
La nouvelle psychologie du comportement,Simon Monneret,"La guérison des troubles psychologiques ne passe plus nécessairement par le divan du psychanalyste, ou le fauteuil du psychothérapeute. Un certain nombre d’autres voies ont été ouvertes, dont témoigne cette collection. Les cures par la parole ont longtemps dominé la psychothérapie en Europe pour des raisons historiques. À partir de Vienne, en Autriche, Freud avait diffusé une œuvre fascinante et considérable. À la même époque, aux États-Unis, un autre chercheur, John Watson, entreprenait une percée aussi originale, dans une direction différente. Le behaviorisme — ou psychologie du comportement — a reçu, depuis une trentaine d’années, des applications diverses et affirmées en psychothérapie. Dans cet ouvrage, Simon Monneret expose les principes et les résultats de ces développements, résultats particulièrement probants dans le domaine des phobies, de certaines dépressions, des troubles de la sexualit頗 de l’éjaculation précoce masculine à la frigidité féminine. Une école française est née autour des premières recherches américaines, et explore de nouvelles voies.",9782725672793
Le soi et l'identité en psychologie sociale,"Sophie Berjot, David Bourguignon","La façon dont une personne se perçoit, la manière dont elle est appelée à répondre lorsqu'elle s'interroge ou qu'on l'interroge sur son identité, font intimement partie de sa personnalité. L'ensemble des réponses à ces diverses interrogations constitue le Soi, d'un point de vue cognitif, émotionnel, comportemental et social. Cet ouvrage présente l’ensemble des éléments composant le Soi et l’identité, et détaille la façon dont ils fonctionnent et s'articulent pour l’individu. Sont ici explicités les principaux concepts et processus afin d’en faciliter l’appréhension d’ensemble par le lecteur, et lui permettre de mieux comprendre le fonctionnement humain.",9782100859276
Interactions communicatives et psychologie,"Claude Chabrol, Isabelle Olry-Louis","Un tour d'horizon de ce que la psychologie sociale, au contact d'autres disciplines, peut apporter à l'étude des interactions et des stratégies discursives à l'oeuvre dans les situations de communication sociale courante, de communication pédagogique ou de communication professionnelle. [Electre]",9782878543865
La psychologie anglaise contemporaine,Théodule Ribot,"Cette réédition dans sa version originale (1870) est un événement. Il s' agit de l' étude la plus complète encore actuellement sur la psychologie associationniste anglaise du XIXème siècle représentée à l' époque par James Mill, John Stuart Mill, Herbert Spencer, Alexandre Bain et George Lewes. Ce livre est aussi habituellement considéré comme un des premiers manifestes français de la nouvelle psychologie. Critiquant la psychologie spiritualiste de son époque, Ribot essaie de promouvoir une psychologie à caractère scientifique. Il revendique pour la psychologie le droit d' exister à côté et en dehors de la philosophie.",9782747529983
Psychologie de l'apprentissage : termes et concepts,"Gérard Malcuit, Andrée Pomerleau, Pierre Maurice","Dans le domaine particulier de l’apprentissage, il y a eu, au cours des dernières décennies, des progrès considérables qui coïncident assez bien avec l’éclatement des grandes théories (béhavioristes et cognitivistes) aux visées unitaires et exclusives. Sous les pressions conjointes de modèles cognitifs et opérants, le champ de connaissances s’est enrichi de concepts pour mieux rendre compte des conduites humaines complexes. Le présent ouvrage possède certaines particularités. Les auteurs ont opté pour une terminologie qui privilégie les relations empiriques, les opérations et les processus, s’attachant à demeurer le plus près des faits observables. Ils évitent le plus possible les explications qui ne seraient que théoriques et les confrontations théoriques. Le livre est divisé en parties. À l’intérieur de chacune, les termes et concepts s’enchaînent l’un à l’autre selon un ordre logique ou une progression qu’il convient de respecter. Cet ouvrage, à cause de son insistance sur les opérations, les procédures et l’observation, deviendra un outil utile pour toute personne — quelle que soit son allégeance ou préférence théorique — intéressée à étudier les conduites humaines et leurs transformations tout au long de la vie. Il constitue un outil de travail indispensable à tous ceux, étudiants, enseignants, praticiens qui s’intéressent à la psychologie de l’apprentissage.",9782402104142
La psychologie et ses fantômes,Alain Tête,"Longtemps on a écrit des histoires de la psychologie dans l'idiome lockien, comme si la discipline ne pouvait s'exprimer que dans cette langue. Le retour récent et inopiné du fantôme cartésien, s'il a permis de mettre en œuvre le programme de la psychologie cognitive, contraint l'épistémologie à reconsidérer l'initiative de Locke fondée sur la critique de l'innéisme cartésien. Estimer que l'abandon du programme lockien constitue "" le résultat le plus important de ces deux cents années dans le domaine de la connaissance "" (J.A. Fodor, 1975), c'est du même coup affirmer que la psychologie a, dès le départ, emprunté un mauvais chemin. Cette mise en question n'a toutefois pas été le fait des psychologues eux-mêmes. A partir des années 1950, ils résisteront tous (Piaget inclus) à l'idée d'une psychologie sans sujet, sans conscience et sans monde, à celle d'un automate théorique, inobservable mais calculable. En revanche, linguistes, mathématiciens, logiciens, ingénieurs et neurologues proposeront une même problématique, celle de la simulation théorique qu'adoptera une nouvelle génération de chercheurs : les psychologues cognitivistes. Mais à son tour est abandonné le dualisme cartésien qui inspirait naguère le mind body problem cognitiviste. S'élabore, sous nos yeux, un objet spécifique distinct du champ neuronal et du champ représentationnel. On peut sans doute enfin annoncer la disparition des fantômes de Locke et de Descartes.",N/A
Esquisse d'une psychologie,Sigmund FREUD,"Freud a commencé à écrire Esquisse d'une psychologie. Entwurf einer Psychologie en 1895, dans le train qui le ramenait de Berlin où il avait rencontré son ami Wilhelm Flie?. Ce texte est un document incontournable qui jette la base de toute élaboration théorique de la psychanalyse. On en trouve trace dans toute l'œuvre de Freud, bien que lui-même n'y fasse jamais référence. Cette édition bilingue a fait l'objet d'un travail collectif de longue haleine. Elle devrait permettre au lecteur francophone d'aborder dans des conditions convenables ce texte fondamental.",9782749259086
Psychologie sociale,"Thierry Meyer, Patricia Delhomme","La collection HU psycho propose des ouvrages qui permettent de s'initier aux différentes disciplines de la psychologie et d'acquérir les connaissances de base : la discipline, son histoire, ses courants, ses méthodes, les notions principales à connaître sont exposés dans un langage simple, et illustrés par de nombreux exemples concrets.",9782011167248
Dictionnaire de psychologie,Norbert Sillamy,"Largement actualisé, ce dictionnaire présente à travers plus de 1000 articles : 900 concepts fondamentaux, définis et expliqués, qui recouvrent les secteurs de recherche les plus variés : psychologie clinique, psychologie expérimentale, neuropsychologie, psychanalyse, psychologie de l'enfant, psychiatrie... 100 monographies de psychologues, pédagogues, psychanalystes, médecins, neurologues... Plusieurs schémas et illustrations explicitant les concepts essentiels. A la fois théorique et pratique, cet ouvrage offre les bases d'une initiation à la psychologie et une référence sérieuse, documentée, adaptée aux exigences des spécialistes et aux besoins du grand public.",9782035902610
Psychologie du cancer,Gustave-Nicolas Fischer,"Que sait-on vraiment des liens entre psychisme et cancer ? Aucun livre à ce jour n’a abordé cette question en termes aussi directs. Ici, l’auteur ose s’atteler à la dimension psychologique d’un mal multifactoriel. Il fait pour la première fois la synthèse des études scientifiques qui ont cherché à comprendre comment le stress, la gestion des émotions ou l’optimisme pouvaient changer la donne, tant dans la survenue de cette maladie que dans sa guérison. Il montre aussi comment la psychologie offre un regard particulier et bénéfique sur les parcours des malades. Ainsi, cette recherche, à la fois rigoureuse et profondément humaniste, apporte des réponses aux interrogations qui nous hantent : un cancer peut-il être provoqué par des facteurs psychologiques ? Quels sont les impacts psychiques induits par cette maladie ? Enfin, quelles sont les ressources intérieures qui aident les malades à supporter leur état et favorisent la guérison ? Gustave-Nicolas Fischer est psychologue spécialiste en psychologie de la santé. Professeur honoraire en psychologie sociale, il exerce actuellement à Montréal et à Genève. Il a publié de nombreux ouvrages de référence, notamment sur les liens entre corps et esprit, dont Les Blessures psychiques.",9782738128898
Vivre heureux,Christophe André,"Extrait de la 4e de couv. : ""Nous avons parfois du mal à nous sentir heureux... Où chercher alors le bonheur ? Et surtout, peut-on apprendre à être heureux ? Ce livre très concret vous permet de faire le point sur vos aptitudes au bonheur, et vous offre toutes les clés pour bâtir peu à peu une vie plus heureuse. Faites-vous confiance : vous pouvez être heureux !""",9782738112552
Histoire de la psychologie,Jean-François Marmion,"Du ""Grand Renfermement"" des fous par Louis XIV à l'avènement de la psychologie positive en passant par l'hypnose, la méthode Coué, les neurosciences et les électrochocs de Milgram, l'histoire de la psychologie court sur plusieurs siècles et regorge d'explorations pionnières, d'intuitions héroïques, de thérapies bigarées, d'expérimentations sordides, de lieux communs infondés et d'authentiques coups de théâtre rocambolesques. En 101 dates clefs, Jean-François Marmion nous conte cette saga tumultueuse, improbable parfois, extravagante souvent et finalement... un peu folle.",9782361067106
"Psychologie: ou, traité sur l'ame, contenant les connoissances que nous en donne l'expérience",Christian Wolff,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",9780270377194
The pedagogical seminary and journal of genetic psychology,Inconnu,"An international record of educational literature, institutions and progress.",N/A
La psychologie de l effort et les doctrines contemporaines,Alexis Bertrand,"La psychologie de l'effort et les doctrines contemporaines / par Alexis Bertrand,...Date de l'edition originale : 1889Ce livre est la reproduction fidele d'une oeuvre publiee avant 1920 et fait partie d'une collection de livres reimprimes a la demande editee par Hachette Livre, dans le cadre d'un partenariat avec la Bibliotheque nationale de France, offrant l'opportunite d'acceder a des ouvrages anciens et souvent rares issus des fonds patrimoniaux de la BnF.Les oeuvres faisant partie de cette collection ont ete numerisees par la BnF et sont presentes sur Gallica, sa bibliotheque numerique.En entreprenant de redonner vie a ces ouvrages au travers d'une collection de livres reimprimes a la demande, nous leur donnons la possibilite de rencontrer un public elargi et participons a la transmission de connaissances et de savoirs parfois difficilement accessibles.Nous avons cherche a concilier la reproduction fidele d'un livre ancien a partir de sa version numerisee avec le souci d'un confort de lecture optimal. Nous esperons que les ouvrages de cette nouvelle collection vous apporteront entiere satisfaction.Pour plus d'informations, rendez-vous sur www.hachettebnf.frhttp://gallica.bnf.fr/ark:/12148/bpt6k5500688m",9782012825536
"International directory of psychologists, exclusive of the u.s.a.","Kurt Pawlik, International Union of Psychological Science","Divided geographically by country. Each section includes includes societies/associations of psychology in a given country, as well as the historical development and current state of psychology, the current major research programs, and a brief account of academic training in psychology and the legal status of psychology as a profession in each country. Finally, each country entry includes a directory of psychologists within its borders, including address and area of specialization.",N/A
La foule criminelle,Scipio Sighele,"La foule criminelle: essai de psychologie collective / Scipio Sighele; traduit de l'italien par Paul VignyDate de l'edition originale: 1892Collection: Bibliotheque de philosophie contemporaineCe livre est la reproduction fidele d'une oeuvre publiee avant 1920 et fait partie d'une collection de livres reimprimes a la demande editee par Hachette Livre, dans le cadre d'un partenariat avec la Bibliotheque nationale de France, offrant l'opportunite d'acceder a des ouvrages anciens et souvent rares issus des fonds patrimoniaux de la BnF.Les oeuvres faisant partie de cette collection ont ete numerisees par la BnF et sont presentes sur Gallica, sa bibliotheque numerique.En entreprenant de redonner vie a ces ouvrages au travers d'une collection de livres reimprimes a la demande, nous leur donnons la possibilite de rencontrer un public elargi et participons a la transmission de connaissances et de savoirs parfois difficilement accessibles.Nous avons cherche a concilier la reproduction fidele d'un livre ancien a partir de sa version numerisee avec le souci d'un confort de lecture optimal. Nous esperons que les ouvrages de cette nouvelle collection vous apporteront entiere satisfaction.Pour plus d'informations, rendez-vous sur www.hachettebnf.frhttp: //gallica.bnf.fr/ark: /12148/bpt6k55096410",9782012821675
Le guide des masters et des troisièmes cycles,"Yaël Didi, Violaine Miossec","Préparés à l'université, en écoles de commerce ou d'ingénieurs, les troisièmes cycles proposés aux étudiants sont particulièrement nombreux. Cet ouvrage recense toutes les formations possibles et délivre de nombreux conseils pour choisir celle qui convient. Avec également des informations pour préparer le dossier de candidature et l'entretien d'admission.",9782846248273
Histoire illustrée de l’informatique,"Emmanuel Lazard, Pierre Mounier-Kuhn","Comment fut inventé l’ordinateur ? Comment notre monde s’est-il numérisé ? Qui sont les héros de cette aventure ? Comment s’inscrit-elle dans l’évolution de l’humanité ? Connaître l’histoire de l’informatique relève désormais de la culture générale. De la machine d’Anticythère au cyberespionnage et aux Big Data, des cartes perforées à l’Internet, des tabulatrices aux tablettes, ce livre vous propose un voyage dans le temps, une archéologie de notre environnement numérique. Laissez-vous emporter dans cette lecture fabuleuse, où chacun retrouvera ou découvrira ces merveilleuses créations de l’esprit humain.",9782759829545
"Le guide des masters, ms et mba","Hobsons,","Présentation de tous les 3e cycles préparés en France, les Masters recherche ou professionel, MS, DRT ou MBA, qui aide l'étudiant à faire son choix parmi les formations offertes après un bac +4 ou un bac +5 et lui donne toutes les pistes pour réussir son admission. Intègre les fusions issues de la réforme LMD.",9782914077460
Glossaire des termes officiels de l'informatique,"Délégation Générale à la Langue Française France, França. Délégation générale à la langue française, França. Commission ministérielle de terminologie de l'informatique, Association française de normalisation",Informatik.,9782110730213
La sécurité informatique,Martin Abadi,"Leçon inaugurale prononcée le 10 mars 2011 Chaire d’Informatique et sciences numériques Aujourd’hui, les questions de sécurité informatique sont omniprésentes, non seulement dans le renseignement militaire mais également dans la finance, le commerce, la gestion de données médicales, les réseaux sociaux et bien d’autres cadres. À partir d’un exemple de la vie courante, le spam, Martin Abadi aborde des aspects variés de l’informatique tels que les protocoles cryptographiques, les modèles de calcul et les langages de programmation. Il nous aide à comprendre les enjeux de la sécurité informatique, ses outils fondamentaux et ses difficultés, tant pratiques que scientifiques.",9782722601475
Les mots de l'informatique,Daniel Ichbiah,"Le vocabulaire de l'informatique vous semble obscur et technique, parfois même décourageant ? Pourtant, vous y êtes confronté tous les jours, ne serait-ce que par le biais des publicités qui vantent les caractéristiques des ordinateurs et les prouesses de tous les appareils numériques qui envahissent le marché... C'est décidé, on ne vous trouvera plus perplexe ou gêné devant une affiche, un catalogue ou au cours d'une conversation portant sur l'informatique ! Ce dictionnaire illustré vous offre une sympathique intrusion dans le monde de l'informatique. La seconde édition que vous avez entre les mains est augmentée de plus de 200 définitions et couvre largement la terminologie informatique. Vous y découvrirez non seulement le sens des mots le plus souvent utilisés, mais également plein d'anecdotes amusantes ou étonnantes qui viendront enrichir votre culture personnelle. L'informatique de A â Z, des définitions claires et des entrées croisées pour ne laisser aucune question en suspens, voilà bien l'outil qui vous manquait pour briller en société !",9782744020186
Le miroir automate,Gérard Chazal,"Au-delà des craintes que peut susciter l'idée d'une machine pensante, au-delà du mythe de l'automate, il s'agit ici d'engager une réflexion pour, à la fois, mieux déterminer ce que le reflet informatique de notre esprit peut nous apprendre sur nous-mêmes, et tracer les nouvelles limites qui séparent l'homme de la machine qu'il a construite.",9782876732049
Informatique,"Joëlle Delacroix, Emmanuel Waymel, François Barthélémy, Raphaël Fournier-S'niehotta, Isabelle Gil-Michalon, Amélie Lambert, Agnès Plateau, Stéphane Rovedakis, Marianne Simonot, Virginie Thion","Les quatre parties de cet ouvrage correspondent aux quatre fondamentaux de l'enseignement de l'informatique dans l'enseignement supérieur : les mathématiques pour l'informatique, l'algorithmique et la programmation, l'architecture système, et les bases de données. - La partie ""Mathématiques"" s'appuie sur les acquis de Terminale, - La partie ""Programmation"" présente les notions de base du code et utilise le langage Python, - La partie ""Architecture"" décrit le fonctionnement d'un machine connectée à Internet, - La partie ""Base de données"" explique les notions relatives au stockage et à la manipulation des données. Des encadrés ""Applications courantes"", ""Recherches en cours"", et ""Histoire de l'informatique"" complètent les chapitres.",9782100767021
Le vocabulaire de l'informatique,Maria Centrella,"Avec l'informatique et les nouvelles technologies l'homme est entre dans une 1ere logique, celle ou l'homme meurt dans un monde different de celui qui l'a vu naitre, et ou, dans l'espace allonge d'une vie, le temps s'inflechit, le progres devenant exponentiel . L'etude de Maria Centrella s'interroge sur les differentes facons par lesquelles le lexique francais a ete saisi par la revolution informatique, de celles officielles et normatives a celles de l'usage courant, par une analyse lexicologique et terminologique du vocabulaire officiel de l'informatique qui suit deux axes principaux, les deux grandes attitudes linguistiques de la norme et de l'usage. L'auteur passe ainsi, note Domenico Silvestri dans sa preface, d'un usage de la norme (la consultation des dictionnaires) a la normalite de l'usage (la presse specialisee), en mettant au centre, comme articulation interactive, une textualite tout a fait particuliere (avec la lecture continue ou decousue des guides et des manuels techniques) . Dans une sorte de radiographie ajournee qui met en lumiere cette partie importante du lexique francais contemporain, elle propose une plus large reflexion d'ordre lexicologique, voire lexiculturel, concernant la creation lexicale institutionnelle dans le domaine de l'informatique, ambitionnant de verifier si cette discipline, encore capable de susciter de grands debats, possede vraiment, en francais, une langue claire et numerique .",9782705684679
L'informatique maîtrisée dans ma pme,Jules Rémy,"Découvrez comment transformer votre PME en une machine de productivité ultra-moderne grâce à l'informatique ! Bienvenue dans le monde de la technologie, où chaque PME doit naviguer pour prospérer. Les serveurs qui plantent, les pertes de fichiers à cause de virus, les coûts apparemment sans fin... ça vous parle ? Vous n'êtes pas seuls ! L'informatique est bien plus qu'un simple coût ; c'est un investissement qui peut transformer votre entreprise. Pourtant, la gestion de l'informatique peut être un véritable casse-tête, surtout lorsque vous n'avez pas d'expert en interne pour vous guider. Notre guide révolutionnaire couvre les 6 domaines clés de la gestion de l'informatique, offrant des solutions concrètes pour que votre PME prospère sans tracas. Du pilotage financier à la gestion de la sécurité, en passant par la gestion du changement et la continuité, nous avons tout prévu. Et le meilleur dans tout ça ? Nous avons simplifié ces concepts complexes en nous appuyant sur les meilleures pratiques d'ITIL, adaptées spécialement aux besoins et aux ressources des PME. Vous serez prêt à conquérir le monde numérique en un rien de temps ! Ne laissez pas l'informatique être un obstacle. Transformez-la en votre atout secret grâce à notre guide essentiel. La réussite de votre PME n'a jamais été aussi accessible. Alors, prêt à libérer le plein potentiel de votre entreprise grâce à la puissance de l'informatique ? *** Vos commentaires *** => Le texte est fluide concis et précis. Vous aurez les bonnes questions à poser à vos fournisseurs pour éviter les zone d'ombres (Olivier P.) => Un ouvrage indispensable pour les PME en croissance. (Claveline) => Excellent petit ouvrage pour rester sur les rails de la gestion Informatique et ne pas se perdre dans la Foret touffue des nouveautés (Mennicken André Bern) * * * Ajoutez cet ouvrage à votre panier dès maintenant ! * * *",9791092108231
Créez votre site web,Mosaïque Informatique,"Cet ouvrage aborde de façon progressive la création de site web. Il vous permettra, dans un premier temps, de comprendre les techniques de création de site web. Il vous propose ensuite de construire un site dans son intégralité (choix de l'hébergeur, bases du langage XHTML, Adobe(r) Dreamweaver, éditeurs HTML gratuits...), puis d'insérer des objets dans les pages. Enfin, penchez-vous sur l’aspect commercial du site, à travers son référencement et les techniques pour gagner de l'argent avec votre site !",9782822409643
Comment être en règle avec son informatique,"Cabinet d'avocats FG associés, Christiane Féral-Schuhl, Grégoire Sainte Marie","FG Associés est un cabinet d'avocats de droit des affaires, dont la compétence est reconnue dans les secteurs de l'informatique et des technologies de l'information. Ont participé à la rédaction de ce livre : C. Féral-Schuhl, B. Grégoire Sainte Marie, G. Jenselme, M. Benaroudj, J. Heslaut, M. d'Haultfoeuille, tous avocats ou juristes de FG Associés. Devenu un bien d'équipement professionnel, au même titre que la télécopie ou la photocopieuse, l'ordinateur est - bien souvent - considéré comme un outil parmi d'autres, dont on pourrait disposer à sa guise. Mais l'informatique fait l'objet d'une protection juridique spécifique ; un responsable d'entreprise ne doit pas ignorer l'existence d'une réglementation, au demeurant peu contraignante, mais qu'il est indispensable de respecter, au risque d'engager la responsabilité civile - et parfois pénale - de l'entreprise. La présentation - volontairement didactique et pratique - de l'ouvrage, permettra à tout utilisateur de l'informatique de prendre connaissance des règles élémentaires à observer pour, le cas échéant, se mettre en conformité avec ces règles, et pour se prémunir contre les difficultés les plus couramment rencontrées.",9782307567851
Intelligence artificielle,"Stuart Russell, Peter Norvig","Cet ouvrage est LE manuel de référence en intelligence artificielle. C'est le seul ouvrage à couvrir de façon aussi complète et moderne tout le champ théorique et pratique de l’intelligence artificielle. C’est aussi le seul ouvrage à proposer une vision unifiée de l’intelligence artificielle, centrée autour de la notion d’agent intelligent. Les différents champs disciplinaires autour de l’IA sont abordés avec un très grand nombre de renvois entre les sections, ce qui constitue une richesse inestimable de l’ouvrage qui expose les connexions entre des domaines qui sont le plus souvent présentés comme indépendants. La 4e édition informe les lecteurs sur les dernières technologies, présente les concepts de manière plus unifiée et couvre de manière nouvelle ou élargie l’apprentissage automatique, l’apprentissage profond, l’apprentissage par transfert, les systèmes multi-agents, la robotique, le traitement du langage naturel, la causalité, la programmation probabiliste, le respect de la vie privée, l’équité et la sécurité.",9782326002210
Pourquoi et comment apprendre la programmation informatique,Guylain Katombe,"Vous êtes-vous déjà demandé pourquoi l'apprentissage de la programmation informatique est si impérative? Pourquoi les gens constituent-ils des communautés gigantesques à travers le monde autour des langages de programmation informatique? Pourquoi les Etats-Unis aurait charger certaines de ses célèbres institutions pour développer des langages de programmation libre et des plateforme d'apprentissage de programmation informatique? Pourquoi un tel engouement pour la programmation informatique? Etre un homme cultivé, c'est aussi s'intéresser à un sujet qui provoque un tel engouement. D'où notre question pourquoi apprendre la programmation informatique? De même il est impératif avant de se lancer dans l'apprentissage de la programmation informatique, de savoir comment l'apprendre.Dans cette ouvrage, nous vous montrerons les raisons pour lesquelles vous devez apprendre la programmation informatique et les 7 clés qui vous aideront à l'optimiser.",9798664506280
Une approche à base de connaissances pour l'enseignement de la programmation,Inconnu,"Le niveau croissant de complexité des applications à développer en informatique d'une part, l'évolution des méthodes, des logiciels et des matériels d'autre part, modifient l'activité de construction de programmes. Dans ce contexte en évolution rapide, les responsables de formation s'interrogent ; que faut-il enseigner aux futurs professionnels de l'informatique dans le domaine de la construction des programmes ? Comment faut-il enseigner ? Peut-on proposer des outils qui facilitent la tâche des élèves et des enseignants.",N/A
Les ordinateurs domestiques,Raphaël Vaillant,"Ce livre s'adresse à tous ceux, qui souhaitent connaître les principes de fonctionnement et la diversité des applications des ordinateurs, parce qu'ils pressentent l'importance que ces machines logiques - grandes ou petites - prendront dans la vie quotidienne des prochaines décennies. L'invention de l'ordinateur évoque celle de la roue : isolée, cette dernière ne sert pas à grand-chose, sauf de jouet. Mais, insérée dans une multitude de machines, elle a bouleversé l'histoire. Les capacités des ordinateurs ont d'abord été appliquées à des problèmes logiques, économiques, scientifiques, mûris pendant des siècles. Il est difficile de prévoir ce qu'elles permettront de faire une fois lâchées dans le quotidien, entre les mains de millions de gens inventifs. Raphaël Vaillant, au fil d'une longue enquête, s'est attaché à décrire les possibles que l'informatique et la télématique suggèrent, en s'appuyant sur une information très complète, et très récente. Son dossier permet à tous de comprendre un des enjeux fondamentaux de notre avenir. Les visages de l'avenir. Prospective scientifique et technique. C'est l'objet de la prospective de préparer les esprits à des éventualités, dont quelques-unes apparaissent très certaines, mais dont d'autres, si improbables qu'elles demeurent, sont importantes ou graves. « Les visages de l'avenir » ne réunit pas des prophéties - plus ou moins romanesques - jouant sur la crédulité du public, ni des essais futurologiques prétendant proposer une prévision unique et pseudo-scientifique d'un avenir déjà écrit. Elle accueille des ouvrages problématiques sur ce qui se passerait si, dans des domaines très variés, telles conditions étaient réunies. Cette collection comprend deux sections, consacrées l'une à la prospective scientifique et technologique, l'autre à la prospective sociale.",9782232145094
